Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4       11282.45        4395.00
clock_gettime         16       11375.58        3478.50
clock_gettime         64       11361.38        2062.00
clock_gettime        256       11296.84        3436.50
clock_gettime       1024       11363.34        2145.00
clock_gettime       4096       11519.30        2395.00
clock_gettime      16384       12989.09        6581.50
clock_gettime      65536       16215.61        9185.00
clock_gettime     262144       65234.91       55798.00
clock_gettime     524288      128393.79      106305.50

clock           payload      mean (us)       min (us)
gettimeofday          4          11.37           2.00
gettimeofday         16          11.33           2.00
gettimeofday         64          11.44           4.50
gettimeofday        256          10.93           3.50
gettimeofday       1024          11.42           2.50
gettimeofday       4096          11.49           2.00
gettimeofday      16384          12.93           6.50
gettimeofday      65536          16.05          10.50
gettimeofday     262144          61.55          54.50
gettimeofday     524288         123.31         110.50

Wrote pipe_latency_cross-r5.csv
