Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4         807.83         728.50
clock_gettime         16         813.10         729.00
clock_gettime         64         817.27         749.50
clock_gettime        256         811.72         729.00
clock_gettime       1024         835.41         749.50
clock_gettime       4096         886.57         812.00
clock_gettime      16384        1363.58        1291.00
clock_gettime      65536        3587.75        3332.00
clock_gettime     262144       14088.06       13266.00
clock_gettime     524288       27978.17       26428.00

clock           payload      mean (us)       min (us)
gettimeofday          4           0.81           0.50
gettimeofday         16           0.81           0.50
gettimeofday         64           0.81           0.50
gettimeofday        256           0.80           0.50
gettimeofday       1024           0.82           0.50
gettimeofday       4096           0.88           0.50
gettimeofday      16384           1.37           1.00
gettimeofday      65536           3.52           3.00
gettimeofday     262144          13.35          12.50
gettimeofday     524288          26.62          24.50

Wrote pipe_latency_same-r2.csv
